Period,Demand,PV_Z1,PV_Z2,PV_Z3,PV_Z4,PV_Z5,PV_Z6,PV_Z7,PV_Z8,PV_Z9,W_On_Z1,W_On_Z2,W_On_Z3,W_On_Z4,W_On_Z5,W_On_Z6,W_On_Z7,W_On_Z8,W_On_Z9,W_Off_Z1,W_Off_Z2,W_Off_Z3,W_Off_Z4,W_Off_Z5,W_Off_Z6,W_Off_Z7,W_Off_Z8,W_Off_Z9,Z1_wave,Z2_wave,Z3_wave,Z8_wave,Z9_wave,Z1_tidal,Z3_tidal,Z5_tidal,Z7_tidal,Z9_tidal,DSR_min,DSR_max
1,26276.86,0,0,0,0,0,0,0,0,0,0.7659,0.7101,0.5205,0.6717,0.5604,0.5874,0.3876,0.2481,0.1812,0.8325,0.8694,0.6336,0.855,0.7983,0.8808,0.72195,0.5835,0.2592,0.847829664,0.847829664,0.847829664,0.57287121,0.537691605,0.207734814,0.009275638,0.025924667,0.011799126,0.019890666,-1,1
2,25831.43,0,0,0,0,0,0,0,0,0,0.7803,0.6486,0.4869,0.6084,0.4872,0.5775,0.4014,0.2427,0.186,0.8274,0.8715,0.6183,0.837,0.7461,0.8787,0.73725,0.6012,0.2763,0.847829664,0.847829664,0.847829664,0.572545702,0.533920044,0.0359306,0.10859412,0.176336111,0.19545625,0.212509822,-1,1
3,24952.96,0,0,0,0,0,0,0,0,0,0.7902,0.5913,0.4749,0.5292,0.3867,0.5292,0.3834,0.2103,0.1884,0.8223,0.8664,0.5976,0.8154,0.6957,0.8781,0.73905,0.6186,0.297,0.847829664,0.847829664,0.845383325,0.567792943,0.527585112,0.20564639,0.395722418,0.457483333,0.598944444,0.554928611,-1,1
4,24178.14,0,0,0,0,0,0,0,0,0,0.7986,0.5481,0.417,0.4359,0.2772,0.4386,0.3981,0.1923,0.1854,0.8202,0.8544,0.5571,0.774,0.6303,0.8769,0.7368,0.6537,0.3123,0.847829664,0.847829664,0.837562489,0.558283612,0.522156757,0.669623948,0.522340493,0.56495,0.749965278,0.594263889,-1,1
5,23628.61,0,0,0,0,0,0,0,0,0,0.8052,0.5094,0.3675,0.3516,0.24,0.3558,0.3846,0.1914,0.1749,0.8229,0.8424,0.5148,0.7272,0.5613,0.8661,0.7119,0.6699,0.3132,0.847829664,0.847829664,0.827409207,0.548856882,0.516378652,0.78713021,0.407775704,0.506455556,0.539665972,0.405528056,-1,1
6,23543.41,0,0,0,0,0,0,0,0,0,0.8076,0.498,0.3372,0.2949,0.2388,0.3309,0.3543,0.1881,0.1662,0.8232,0.8403,0.4815,0.7065,0.5247,0.852,0.67035,0.6705,0.2997,0.847829664,0.847829664,0.817133874,0.536025258,0.510534434,0.578524662,0.15963757,0.22581,0.185018056,0.145467833,-1,1
7,23920.92,0,0,0,0,0,0,0,0,0,0.8049,0.5055,0.3138,0.2415,0.2433,0.3141,0.3018,0.1851,0.1617,0.8166,0.8439,0.4563,0.7074,0.4857,0.8385,0.6069,0.6591,0.288,0.847829664,0.847829664,0.816172235,0.525796608,0.505570064,0.192827407,0.030675292,0.018912361,0.012701333,0.015938355,-1,1
8,24823.4,0,0,0,0,0,0,0,0,0,0.7953,0.492,0.3009,0.2298,0.2475,0.3024,0.2709,0.1839,0.1596,0.8019,0.8475,0.4347,0.7263,0.4749,0.8334,0.5496,0.6294,0.2862,0.847829664,0.84775722,0.827821442,0.512413716,0.499665706,0.01133399,0.180364167,0.055702,0.226052778,0.131033836,-0.806270997,0.806270997
9,26559.96,0,0,0,0,0,0.005666667,0.00275,0.006333333,0.001,0.7866,0.4659,0.2796,0.2202,0.2451,0.2901,0.2553,0.1902,0.1617,0.7845,0.8484,0.405,0.7416,0.4719,0.8388,0.5154,0.579,0.2907,0.847829664,0.84763866,0.839321273,0.499133724,0.492690746,0.061277178,0.60255493,0.329289444,0.684270833,0.445250278,-0.806270997,0.806270997
10,28716.47,0.008,0.03,0.035,0.082333333,0.081,0.169333333,0.05575,0.058,0.026,0.7788,0.4503,0.2412,0.2163,0.2286,0.2694,0.2088,0.1752,0.1674,0.7647,0.8508,0.3438,0.7677,0.4932,0.8514,0.50205,0.5604,0.2907,0.847829664,0.847528899,0.844240079,0.486832473,0.486895138,0.393805939,0.781951995,0.569627778,0.648576389,0.564227778,-1,1
11,30911.23,0.051,0.098,0.136666667,0.237,0.231333333,0.331666667,0.162,0.148,0.051,0.7626,0.4356,0.1995,0.1905,0.1794,0.2304,0.1767,0.1593,0.1698,0.7395,0.852,0.2763,0.7902,0.5151,0.8646,0.50415,0.5685,0.2943,0.847829664,0.847428085,0.845855443,0.537615023,0.601739682,0.711026699,0.584596244,0.467516667,0.320613889,0.426196667,-1,1
12,32871.47,0.1085,0.154333333,0.206666667,0.334333333,0.316333333,0.409,0.2875,0.273333333,0.062333333,0.7362,0.4161,0.1674,0.1629,0.1308,0.2208,0.1869,0.1503,0.1758,0.7047,0.8484,0.2277,0.8109,0.5559,0.8727,0.53505,0.5706,0.3141,0.847829664,0.847328369,0.846244501,0.538286889,0.609827167,0.674735712,0.255953392,0.202831111,0.074851389,0.200767083,-1,1
13,34167.65,0.1735,0.177333333,0.236666667,0.350333333,0.336,0.400333333,0.327,0.345,0.073333333,0.7062,0.3855,0.1497,0.1407,0.1134,0.2349,0.2139,0.1467,0.1842,0.6642,0.8415,0.2007,0.8226,0.5889,0.8751,0.57165,0.6036,0.3375,0.847829664,0.847231728,0.846051682,0.544516327,0.605445738,0.340269838,0.038299351,0.038592944,0.002692638,0.043055711,-1,1
14,34658.24,0.1795,0.154666667,0.192333333,0.289666667,0.277,0.326666667,0.28575,0.334333333,0.087666667,0.6714,0.3483,0.1413,0.1539,0.1173,0.2541,0.204,0.1389,0.189,0.6207,0.8289,0.1872,0.8262,0.6405,0.8745,0.5904,0.6513,0.3564,0.847829664,0.846947901,0.845191116,0.555205571,0.5777965,0.057613123,0.02230497,0.063100389,0.057712222,0.069158306,-1,1
15,35238.21,0.0795,0.071666667,0.104,0.150666667,0.160666667,0.180666667,0.18125,0.194,0.062666667,0.6393,0.3153,0.1368,0.1677,0.1494,0.2922,0.1995,0.1362,0.1944,0.5826,0.8091,0.1845,0.8217,0.6621,0.8742,0.59865,0.6783,0.3654,0.847829664,0.846438796,0.841291889,0.557147168,0.546396661,0.065974348,0.218328333,0.317183333,0.373580556,0.420215917,-1,1
16,36190.49,0.001,0.001666667,0.016333333,0.009666667,0.031,0.021333333,0.04125,0.029,0.012,0.6093,0.2853,0.1332,0.1695,0.1659,0.3243,0.2349,0.1473,0.2112,0.5514,0.7875,0.1962,0.8091,0.6543,0.8754,0.61785,0.7104,0.3861,0.847829664,0.845973351,0.833088374,0.544252209,0.518846522,0.491372233,0.450924178,0.540494444,0.695013889,0.678125833,-1,1
17,37127.75,0,0,0,0,0,0,0,0,0,0.5745,0.264,0.126,0.15,0.1692,0.3369,0.255,0.1527,0.2232,0.5172,0.7644,0.2106,0.7875,0.6222,0.8787,0.6225,0.7359,0.4131,0.847829664,0.845544281,0.821211229,0.517623805,0.494920454,0.75820356,0.428269601,0.562483333,0.6355625,0.584105556,-1,1
18,37812.08,0,0,0,0,0,0,0,0,0,0.5325,0.2349,0.1152,0.1326,0.162,0.327,0.2568,0.1416,0.2238,0.4746,0.7359,0.2196,0.7596,0.5817,0.8826,0.6216,0.7686,0.4311,0.847829664,0.845151392,0.80511174,0.484288749,0.470692627,0.693706997,0.217394484,0.368082778,0.330813194,0.313880278,-0.806270997,0.806270997
19,37916.13,0,0,0,0,0,0,0,0,0,0.4869,0.2004,0.1038,0.1215,0.1491,0.3126,0.2583,0.1338,0.2202,0.426,0.6987,0.216,0.7263,0.537,0.8829,0.61755,0.7938,0.4482,0.847829664,0.844788411,0.776450178,0.450306569,0.447174773,0.314704155,0.04086651,0.078709,0.044956542,0.069029083,-0.806270997,0.806270997
20,36875.78,0,0,0,0,0,0,0,0,0,0.4479,0.1668,0.0927,0.1125,0.132,0.2949,0.2655,0.1287,0.222,0.3801,0.6573,0.1971,0.6903,0.4941,0.8799,0.61155,0.8016,0.4581,0.847829664,0.844366994,0.719408008,0.419773079,0.428712717,0.035656327,0.074921903,0.0128211,0.077919354,0.033958863,-1,1
21,34955.16,0,0,0,0,0,0,0,0,0,0.4125,0.1464,0.0837,0.105,0.1128,0.2682,0.2589,0.1248,0.2157,0.3387,0.6204,0.171,0.657,0.4551,0.876,0.6012,0.7923,0.4572,0.847829664,0.843920829,0.654168242,0.394874219,0.413133083,0.033137457,0.453402934,0.190962778,0.577358333,0.268700806,-1,1
22,32885.02,0,0,0,0,0,0,0,0,0,0.3693,0.1197,0.0765,0.0984,0.0936,0.2427,0.2445,0.1158,0.2097,0.291,0.582,0.1431,0.6237,0.4203,0.8709,0.58275,0.7767,0.4536,0.847829664,0.843478021,0.58912424,0.371868842,0.396567935,0.345066618,0.854875469,0.542533333,0.854145833,0.551240556,-1,1
23,31058.49,0,0,0,0,0,0,0,0,0,0.3165,0.093,0.0684,0.09,0.0789,0.222,0.2217,0.1071,0.2034,0.2418,0.5325,0.1197,0.585,0.3882,0.8658,0.56205,0.7608,0.4419,0.847829664,0.843073975,0.533007419,0.353861147,0.381643892,0.794696926,0.828139437,0.604705556,0.550844444,0.537278611,-1,1
24,29685.5,0,0,0,0,0,0,0,0,0,0.2643,0.0735,0.0621,0.0804,0.0666,0.2016,0.204,0.1026,0.1935,0.2022,0.4767,0.1008,0.5364,0.3483,0.8589,0.543,0.7494,0.4194,0.847829664,0.842679294,0.489135403,0.33628718,0.36709992,0.869727346,0.497757277,0.363944444,0.190053472,0.331700556,-1,1
25,28787.38,0,0,0,0,0,0,0,0,0,0.2145,0.0618,0.0573,0.0717,0.0552,0.177,0.1905,0.0903,0.1872,0.1671,0.4227,0.0882,0.4815,0.3078,0.8466,0.5277,0.7461,0.4059,0.847829664,0.842298929,0.452098067,0.320340989,0.352404255,0.650032249,0.144610428,0.114423889,0.021043,0.117445542,-1,1
26,28396.38,0,0,0,0,0,0,0,0,0,0.1692,0.0534,0.0546,0.0627,0.0447,0.1533,0.1761,0.0798,0.1908,0.1332,0.3699,0.0792,0.423,0.2706,0.8289,0.50895,0.7377,0.4194,0.847829664,0.841926079,0.417182044,0.306265423,0.33857244,0.250856977,0.011389549,0.028889333,0.012277474,0.025913002,-1,1
27,28154.71,0,0,0,0,0,0,0,0,0,0.1314,0.0468,0.0549,0.0519,0.0351,0.1317,0.162,0.0762,0.1974,0.1035,0.3141,0.0783,0.3654,0.234,0.8067,0.4866,0.7227,0.4329,0.847829664,0.841531414,0.38287821,0.293198798,0.324561418,0.051201757,0.126781789,0.185595556,0.220818056,0.237891006,-1,1
28,27987.8,0,0,0,0,0,0,0,0,0,0.1089,0.045,0.0597,0.0423,0.0297,0.1176,0.1536,0.0789,0.2106,0.0837,0.2652,0.09,0.3141,0.2046,0.78,0.46485,0.7119,0.4095,0.847829664,0.841078705,0.349578996,0.28083356,0.309072252,0.282087291,0.446503169,0.479138889,0.664583333,0.613024722,-1,1
29,28449.02,0,0,0,0,0,0,0,0,0,0.1029,0.0492,0.066,0.033,0.0267,0.1113,0.1542,0.0768,0.231,0.0768,0.2247,0.1107,0.2682,0.1785,0.7545,0.45075,0.7044,0.3798,0.847829664,0.840635703,0.31855739,0.297238377,0.302245685,0.742930097,0.589853756,0.606911111,0.824680556,0.669691667,-1,1
30,29452.98,0,0,0,0,0,0,0,0,0,0.1077,0.0546,0.0726,0.0243,0.0252,0.1071,0.1611,0.0765,0.2574,0.0819,0.1905,0.135,0.225,0.1512,0.7335,0.4476,0.6981,0.3672,0.847829664,0.840145511,0.291048319,0.283519306,0.288421476,0.818069595,0.46773392,0.563533333,0.628243056,0.475601389,-1,1
31,32466.29,0,0,0,0,0,0,0,0,0,0.1209,0.0603,0.0813,0.0177,0.0243,0.1026,0.1644,0.078,0.2781,0.0942,0.1653,0.1638,0.189,0.1275,0.7089,0.4452,0.6927,0.3537,0.847829664,0.839586986,0.268164272,0.260480692,0.275250733,0.654794367,0.179523087,0.256951111,0.226238889,0.18112175,-1,1
32,36581.31,0,0,0,0,0,0,0,0,0,0.1377,0.0684,0.0894,0.0144,0.0228,0.0963,0.1608,0.075,0.288,0.1092,0.1554,0.1989,0.162,0.1086,0.6804,0.4341,0.6837,0.3375,0.847829664,0.839025163,0.24899363,0.245434547,0.263022542,0.209186968,0.03631366,0.022857222,0.015358333,0.021634935,-0.806270997,0.806270997
33,40724.85,0,0,0,0,0,0.000666667,0.009,0.026,0.017333333,0.1548,0.0783,0.0954,0.0153,0.0201,0.0885,0.1512,0.0708,0.2793,0.1248,0.1581,0.234,0.1485,0.0999,0.6534,0.4116,0.6657,0.3132,0.847829664,0.838428022,0.231779089,0.233606042,0.250380304,0.011487765,0.227999495,0.065957167,0.280636111,0.150963576,-0.806270997,0.806270997
34,44366.9,0.0475,0.081,0.011666667,0.104666667,0.021,0.055666667,0.14125,0.132666667,0.128,0.1677,0.0894,0.0933,0.0201,0.0162,0.0762,0.117,0.0546,0.2514,0.1437,0.1689,0.2511,0.1449,0.1002,0.6234,0.37725,0.6315,0.2493,0.847829664,0.837695391,0.216321761,0.220798661,0.237541283,0.089522206,0.72651784,0.393519444,0.812916667,0.511698056,-1,1
35,47168.39,0.1635,0.239333333,0.036666667,0.270666667,0.054666667,0.124666667,0.2905,0.234666667,0.285,0.174,0.0924,0.0858,0.0234,0.012,0.0555,0.0726,0.0375,0.2208,0.1635,0.1818,0.2466,0.1485,0.1041,0.5904,0.33465,0.5952,0.1971,0.847829664,0.835725582,0.20210994,0.21083601,0.228409423,0.502917816,0.920795775,0.656461111,0.740861111,0.651191667,-1,1
36,47940.25,0.2315,0.342,0.057333333,0.355,0.079,0.169,0.371,0.291,0.388333333,0.1722,0.0873,0.0786,0.0252,0.0105,0.0432,0.0507,0.0294,0.2022,0.1776,0.1905,0.2304,0.1557,0.1038,0.5583,0.2964,0.5625,0.1746,0.847829664,0.83251044,0.188515751,0.199087432,0.218796064,0.829017961,0.699612559,0.531316667,0.354155556,0.502398056,-1,1
37,48225.15,0.2205,0.346666667,0.066666667,0.353666667,0.093333333,0.172,0.3695,0.278333333,0.386,0.1605,0.0822,0.0705,0.0279,0.0108,0.0387,0.0462,0.0285,0.1896,0.1803,0.1917,0.2052,0.1557,0.1029,0.5322,0.26865,0.5319,0.1719,0.847829664,0.82788147,0.175892493,0.188871877,0.212197052,0.749993301,0.318195622,0.242880556,0.082881319,0.250855278,-1,1
38,48238.87,0.1235,0.255,0.063666667,0.274333333,0.096666667,0.131666667,0.28875,0.186666667,0.323,0.1416,0.0813,0.0615,0.0279,0.0102,0.0363,0.0426,0.0249,0.177,0.1707,0.1809,0.1773,0.1467,0.1014,0.51,0.2484,0.5061,0.171,0.847332124,0.821202631,0.164424457,0.178833533,0.207098578,0.416043673,0.049255765,0.047302111,0.003100522,0.060802632,-1,1
39,48560.32,0.036,0.099666667,0.038666667,0.13,0.071333333,0.069666667,0.16625,0.089333333,0.196,0.1227,0.0846,0.0546,0.0276,0.0108,0.0375,0.045,0.0222,0.1704,0.1563,0.1566,0.1566,0.1206,0.09,0.4818,0.23175,0.4869,0.1782,0.844442911,0.814363827,0.154164645,0.169338788,0.202945445,0.077314824,0.031708741,0.075079167,0.076400208,0.090412161,-1,1
40,49173.37,0,0.002,0.004,0.007333333,0.014666667,0.006,0.0345,0.010333333,0.049,0.1137,0.0894,0.0549,0.0243,0.0117,0.036,0.0567,0.0261,0.1797,0.1467,0.1233,0.1584,0.0846,0.0696,0.4461,0.2166,0.4758,0.1998,0.839575539,0.807930493,0.145196386,0.160435246,0.199853934,0.103476929,0.283431667,0.365878889,0.467356944,0.496383194,-1,1
41,49755.25,0,0,0,0,0,0,0,0,0,0.1155,0.0984,0.0618,0.0216,0.0141,0.0312,0.0663,0.0321,0.1941,0.1476,0.0897,0.1854,0.0558,0.0555,0.4038,0.2025,0.4545,0.2106,0.834629763,0.801791946,0.137768852,0.152166898,0.19580953,0.617532774,0.565605734,0.610595238,0.825583333,0.767361905,-1,1
42,50168.95,0,0,0,0,0,0,0,0,0,0.1248,0.1131,0.0723,0.0225,0.0189,0.0276,0.0714,0.039,0.1995,0.1611,0.0726,0.225,0.0414,0.0531,0.3657,0.1881,0.4209,0.2007,0.829547105,0.794793259,0.131861026,0.146528434,0.191974602,0.811347346,0.505924648,0.622338889,0.722270833,0.638791667,-0.806270997,0.806270997
43,50019.61,0,0,0,0,0,0,0,0,0,0.141,0.1269,0.0828,0.024,0.0264,0.0282,0.0714,0.0435,0.1941,0.1785,0.0693,0.2718,0.0378,0.0579,0.3396,0.17415,0.3843,0.1755,0.82384704,0.784402568,0.127678828,0.140307325,0.186947987,0.736871333,0.226800434,0.369717222,0.344841667,0.319902222,-0.806270997,0.806270997
44,48822.28,0,0,0,0,0,0,0,0,0,0.1524,0.1362,0.0945,0.0255,0.0333,0.0309,0.0696,0.0462,0.1806,0.1878,0.0639,0.3213,0.0351,0.0588,0.3309,0.1674,0.3522,0.1467,0.812822782,0.769301899,0.125402892,0.133635357,0.182577752,0.284943078,0.038732343,0.060519167,0.030682813,0.057511694,-1,1
45,47430.7,0,0,0,0,0,0,0,0,0,0.1551,0.1422,0.1038,0.0246,0.0381,0.0333,0.0705,0.0492,0.1653,0.1896,0.0522,0.3609,0.0288,0.0543,0.333,0.1734,0.3366,0.1215,0.785758179,0.753334061,0.12430663,0.129823798,0.179125551,0.019445481,0.141524777,0.0295085,0.171280764,0.071956025,-1,1
46,45799.9,0,0,0,0,0,0,0,0,0,0.1533,0.1497,0.1095,0.0258,0.0414,0.036,0.0735,0.0495,0.1506,0.1917,0.0399,0.3834,0.0207,0.0492,0.3402,0.1869,0.3396,0.1062,0.746725587,0.737114932,0.124426507,0.202656279,0.240537711,0.071345754,0.645248944,0.309276111,0.808104167,0.413066111,-1,1
47,44275.65,0,0,0,0,0,0,0,0,0,0.1587,0.1587,0.1134,0.0336,0.0462,0.0402,0.0765,0.0441,0.1332,0.2037,0.0336,0.387,0.0171,0.0498,0.3378,0.19755,0.3477,0.0999,0.7058871,0.718118002,0.12530116,0.182963205,0.233515463,0.505572249,0.986639671,0.671327778,0.921590278,0.681972222,-1,1
48,43300.94,0,0,0,0,0,0,0,0,0,0.1725,0.1662,0.1125,0.0426,0.0483,0.0459,0.0795,0.0369,0.1116,0.2223,0.0354,0.3753,0.018,0.0582,0.3243,0.2007,0.348,0.1017,0.665737316,0.695767647,0.126357404,0.168309209,0.227583001,0.920116505,0.865971948,0.636666667,0.501532639,0.587807778,-1,1
49,42639.23,0,0,0,0,0,0,0,0,0,0.1911,0.1713,0.1059,0.0453,0.0459,0.0495,0.0804,0.0321,0.096,0.2385,0.0426,0.3483,0.0207,0.0684,0.3063,0.19995,0.3384,0.1071,0.628327664,0.673098377,0.127645756,0.1567726,0.216154972,0.858135841,0.472791197,0.355811667,0.145421528,0.335381667,-1,1
50,41891.74,0,0,0,0,0,0,0,0,0,0.2055,0.1773,0.0966,0.0426,0.0396,0.0465,0.0768,0.0309,0.0921,0.2463,0.0477,0.3204,0.0216,0.0708,0.2832,0.1989,0.327,0.1089,0.593557982,0.650402144,0.128923264,0.14812794,0.200027774,0.627773722,0.10392648,0.094856944,0.010271467,0.107915355,-1,1
51,41461.94,0,0,0,0,0,0,0,0,0,0.2157,0.1905,0.0918,0.0396,0.0348,0.0399,0.0708,0.0333,0.0951,0.261,0.0486,0.2952,0.0189,0.0651,0.2574,0.19485,0.3189,0.1107,0.560924962,0.627150974,0.130590323,0.138435835,0.184370751,0.199825786,0.019468606,0.047279444,0.039290403,0.050416092,-1,1
52,41211.19,0,0,0,0,0,0,0,0,0,0.2292,0.2094,0.0993,0.0411,0.0342,0.0357,0.0675,0.0345,0.0945,0.2883,0.0522,0.2952,0.0207,0.0648,0.2424,0.18975,0.3117,0.1116,0.525187445,0.602467692,0.134441511,0.131632425,0.170230102,0.080678296,0.243605864,0.298009444,0.388186806,0.4076353,-1,1
53,41483.41,0,0,0,0,0,0,0,0,0,0.246,0.2268,0.1188,0.0444,0.0393,0.0318,0.0657,0.033,0.0942,0.3159,0.0582,0.3168,0.0234,0.0645,0.2364,0.183,0.3024,0.1071,0.48449736,0.575822991,0.138504593,0.135920019,0.189422783,0.502114162,0.594455164,0.591138889,0.863194444,0.734040278,-1,1
54,42497.71,0,0,0,0,0,0,0,0,0,0.2631,0.2415,0.1422,0.0501,0.0528,0.0273,0.063,0.033,0.096,0.3378,0.0657,0.333,0.0243,0.0609,0.2301,0.1764,0.291,0.0999,0.446900826,0.549135481,0.141285101,0.233806474,0.226046337,0.827682201,0.679873357,0.701177778,0.934777778,0.764855556,-1,1
55,43886.84,0,0,0,0,0,0,0,0,0,0.2748,0.2541,0.1596,0.0567,0.0732,0.0243,0.0567,0.0369,0.1029,0.3546,0.0777,0.3447,0.027,0.0627,0.2199,0.17085,0.2745,0.0936,0.415464179,0.525335386,0.143655516,0.226788123,0.216483495,0.847533997,0.466384272,0.601816667,0.658395833,0.497011111,-1,1
56,45620.72,0,0,0,0,0,0,0,0,0,0.2823,0.2556,0.1692,0.0663,0.0942,0.0282,0.0477,0.0453,0.1083,0.3645,0.0957,0.3591,0.0405,0.0792,0.1983,0.1632,0.2583,0.09,0.38834265,0.505659716,0.146425317,0.208019712,0.209253273,0.605220994,0.133383479,0.208511667,0.166348194,0.153662611,-0.806270997,0.806270997
57,47244.7,0,0,0,0,0,0.008,0.00975,0.019,0.014333333,0.2853,0.2535,0.1764,0.0756,0.1104,0.0381,0.0399,0.0534,0.1107,0.366,0.1104,0.378,0.063,0.1086,0.1695,0.14685,0.2418,0.0828,0.365057061,0.489370312,0.150364278,0.190107399,0.204055068,0.134300211,0.059413795,0.013890667,0.038887354,0.031112984,-0.806270997,0.806270997
58,48441.89,0.0175,0.084,0.005666667,0.086666667,0.013666667,0.18,0.1305,0.115,0.106,0.2748,0.243,0.1767,0.0807,0.1143,0.0474,0.0318,0.0513,0.1047,0.3528,0.1101,0.3789,0.0783,0.1263,0.1515,0.12765,0.2208,0.0666,0.345027832,0.476915142,0.155461507,0.174060158,0.198655497,0.011227384,0.446613263,0.157775,0.548280556,0.291734556,-1,1
59,49171.35,0.0535,0.231333333,0.022333333,0.232333333,0.047666667,0.337,0.26875,0.234666667,0.212666667,0.27,0.2286,0.1617,0.072,0.0969,0.0453,0.0213,0.0348,0.0873,0.3483,0.1059,0.3636,0.0864,0.1263,0.1551,0.1137,0.2043,0.045,0.32956289,0.467913271,0.159899645,0.158834784,0.192632627,0.236781262,0.955955751,0.598022222,0.995236111,0.708933611,-1,1
60,49680.18,0.0525,0.299333333,0.039666667,0.312,0.079,0.418666667,0.339,0.290333333,0.286333333,0.3012,0.2202,0.1458,0.0549,0.0735,0.0354,0.0159,0.0195,0.0693,0.3534,0.1137,0.3438,0.09,0.1119,0.1806,0.11085,0.1986,0.0378,0.316577075,0.46021915,0.164174936,0.143765929,0.187553837,0.744684466,0.986659624,0.773794444,0.735430556,0.757966667,-1,1
61,50073.19,0.0395,0.289666667,0.045666667,0.308,0.087333333,0.424333333,0.3375,0.269666667,0.291666667,0.3558,0.2109,0.1335,0.042,0.0654,0.03,0.0147,0.009,0.0579,0.3786,0.1353,0.3132,0.0927,0.1047,0.2067,0.1191,0.2058,0.0522,0.304884228,0.452362594,0.169346062,0.132767387,0.183592002,0.895706796,0.733633803,0.5504,0.295582639,0.5360025,-1,1
62,50501.42,0.028,0.219333333,0.044,0.233333333,0.074666667,0.353,0.29025,0.184333333,0.247333333,0.3834,0.2247,0.1239,0.0465,0.0726,0.0321,0.0147,0.0054,0.0531,0.4023,0.168,0.3033,0.1125,0.1212,0.2091,0.12855,0.2247,0.0738,0.298632509,0.446348112,0.174547438,0.124621048,0.182259687,0.750018074,0.280396714,0.217213333,0.051434097,0.243800361,-1,1
63,50996.97,0.013,0.098,0.028666667,0.105666667,0.042666667,0.208,0.17575,0.085,0.148333333,0.3891,0.2499,0.117,0.0654,0.0846,0.0429,0.0162,0.0117,0.063,0.4347,0.1965,0.2907,0.1449,0.1581,0.1881,0.13125,0.2496,0.0909,0.298998516,0.441998535,0.18006798,0.11929453,0.181030523,0.368767362,0.027594205,0.036383889,0.005381064,0.049728709,-1,1
64,51515.47,0,0.002333333,0.003,0.005333333,0.005,0.031,0.04475,0.010666667,0.038666667,0.396,0.264,0.1233,0.087,0.102,0.0576,0.0192,0.0273,0.0921,0.4761,0.234,0.3042,0.1683,0.1854,0.1524,0.12225,0.2721,0.108,0.304047936,0.438932213,0.186676534,0.114575545,0.180655987,0.062756469,0.095441063,0.158895556,0.192597222,0.225900017,-1,1
65,51894.99,0,0,0,0,0,0,0,0,0,0.4002,0.2859,0.1326,0.0972,0.12,0.0699,0.0207,0.0417,0.1248,0.501,0.2859,0.3159,0.1926,0.201,0.1257,0.10305,0.2796,0.1233,0.314176331,0.44632139,0.194810565,0.111929462,0.181789361,0.264713062,0.475941315,0.523311111,0.732708333,0.644506667,-1,1
66,52157.15,0,0,0,0,0,0,0,0,0,0.3963,0.3141,0.1395,0.1074,0.1308,0.0807,0.021,0.0489,0.1485,0.4974,0.315,0.3303,0.234,0.2313,0.1329,0.0861,0.2622,0.135,0.325170505,0.465890768,0.204582936,0.108677095,0.183803199,0.75629466,0.722823944,0.718144444,0.997555556,0.889511111,-0.806270997,0.806270997
67,51832.93,0,0,0,0,0,0,0,0,0,0.3792,0.3213,0.1428,0.1233,0.1359,0.0912,0.0213,0.0516,0.1575,0.4788,0.2955,0.3339,0.2538,0.2736,0.1722,0.07965,0.2328,0.1467,0.340674068,0.494609177,0.216628994,0.10639815,0.192847556,0.847268657,0.605630164,0.7174,0.862270833,0.726969444,-0.806270997,0.806270997
68,50771.66,0,0,0,0,0,0,0,0,0,0.3675,0.288,0.1419,0.1296,0.1488,0.1011,0.0243,0.0561,0.1563,0.4578,0.2496,0.3222,0.2124,0.2625,0.2112,0.08385,0.1893,0.144,0.35758724,0.532620022,0.230886567,0.105513946,0.200335151,0.767951905,0.249145059,0.406899444,0.38348125,0.348905556,-1,1
69,49630.65,0,0,0,0,0,0,0,0,0,0.3615,0.2511,0.1449,0.1113,0.1602,0.1026,0.0321,0.0618,0.1494,0.4374,0.2331,0.3096,0.1845,0.216,0.2469,0.09015,0.1554,0.1269,0.371479155,0.580321961,0.246640343,0.104886834,0.206358456,0.264282198,0.0438513,0.055206722,0.026763125,0.054138,-1,1
70,48180.98,0,0,0,0,0,0,0,0,0,0.3708,0.2388,0.1446,0.0882,0.1527,0.0963,0.0348,0.0651,0.1416,0.435,0.2397,0.3042,0.1989,0.2076,0.2949,0.10965,0.1497,0.1089,0.393541949,0.627151313,0.26219971,0.119702955,0.243734528,0.013115976,0.223771843,0.054978556,0.279858333,0.126331189,-1,1
71,46645.14,0,0,0,0,0,0,0,0,0,0.4026,0.2379,0.135,0.0921,0.1425,0.0972,0.0474,0.0681,0.1251,0.453,0.2568,0.2943,0.216,0.2385,0.3231,0.13425,0.1722,0.0729,0.429785669,0.666951225,0.277744189,0.130076805,0.247124395,0.117927316,0.823763146,0.432833889,0.942236111,0.5802825,-1,1
72,45624,0,0,0,0,0,0,0,0,0,0.4326,0.2391,0.1254,0.1002,0.156,0.1206,0.0708,0.0705,0.1158,0.477,0.2799,0.2817,0.2196,0.2517,0.3231,0.13635,0.1821,0.018,0.481944715,0.696447447,0.293364619,0.137626364,0.254451859,0.646125728,1,0.789777778,0.931722222,0.823072222,-1,1
